假名,日语汉字,中文翻译,容易混淆的单词,混淆词翻译
こうじ,工事,工程,完成（かんせい）,完成
こうしき,公式,公式,非公式（ひこうしき）,非公式
こうじつ,口実,借口,理由（りゆう）,理由
こうして,こうして,这样,それから（それから）,然后
こうしゃ,校舎,校舍,教室（きょうしつ）,教室
こうしゅう,公衆,公众,個人（こじん）,个人
こうすい,香水,香水,芳香（ほうこう）,芳香
こうせい,公正,公正,不公平（ふこうへい）,不公平
こうせき,功績,功绩,過失（かしつ）,过失
こうせん,光線,光线,闇（やみ）,黑暗
こうそう,高層,高层,低層（ていそう）,低层
こうぞう,構造,构造,外形（がいけい）,外形
こうたい,交替,交替,交代（こうたい）,交接
こうち,耕地,耕地,牧場（ぼくじょう）,牧场
こうつうきかん,交通機関,交通工具,道路（どうろ）,道路
こうてい,校庭,校园,教室（きょうしつ）,教室
こうてい,肯定,肯定,否定（ひてい）,否定
こうど,高度,高度,低度（ていど）,低度
こうとう,高等,高等,低等（ていとう）,低等
ごうどう,合同,合同,別々（べつべつ）,分别
こうはい,後輩,后辈,先輩（せんぱい）,前辈
こうひょう,公表,公布,秘密（ひみつ）,秘密
こうぶつ,鉱物,矿物,植物（しょくぶつ）,植物
こうむ,公務,公务,私事（しじ）,私事
こうもく,項目,项目,全体（ぜんたい）,全体
こうよう,紅葉,红叶,緑（みどり）,绿色
ごうり,合理,合理,非合理（ひごうり）,不合理
こうりゅう,交流,交流,孤立（こりつ）,孤立
ごうりゅう,合流,汇流,分流（ぶんりゅう）,分流
こうりょく,効力,效力,無効（むこう）,无效
こえる,超える,超过,及ぶ（およぶ）,达到
コース,,路线,コース（course）,路线
コーラス,,合唱,独唱（どくしょう）,独唱
こがす,焦がす,烧焦,焼く（やく）,烤
こくおう,国王,国王,女王（じょおう）,女王
こくせき,国籍,国籍,出身（しゅっしん）,出身
こくりつ,国立,国立,私立（しりつ）,私立
ごくろうさま,,辛苦了,お疲れ様（おつかれさま）,辛苦了
こげる,焦げる,烧焦,焼ける（やける）,烤熟
こごえる,凍える,冻僵,寒い（さむい）,寒冷
こころあたり,心当たり,线索,思い当たる（おもいあたる）,想得到
こころえる,心得る,掌握,知る（しる）,知道
こしかけ,腰掛け,座位,椅子（いす）,椅子
こしかける,腰掛ける,坐,座る（すわる）,坐
ごじゅうおん,五十音,五十音,アルファベット（alphabet）,字母表
こしょう,胡椒,胡椒,塩（しお）,盐
こしらえる,こしらえる,制作,作る（つくる）,制作
こす,超す,超过,越える（こえる）,超过
こする,擦る,摩擦,磨く（みがく）,磨
こたい,個体,个体,全体（ぜんたい）,全体
ごちそう,御馳走,盛宴,普通の食事（ふつうのしょくじ）,普通饭菜
ごちそうさま,,多谢款待,いただきます（いただきます）,我开动了
こちらこそ,,哪里哪里,どういたしまして（どういたしまして）,不客气
こづかい,小遣い,零花钱,給料（きゅうりょう）,工资
コック,,厨师,シェフ（chef）,厨师
こっそり,,偷偷地,隠れて（かくれて）,隐藏
こてん,古典,古典,現代（げんだい）,现代
こと,琴,琴,ギター（guitar）,吉他
ことづける,言付ける,传话,伝える（つたえる）,传达
ことばづかい,言葉遣い,用词,発音（はつおん）,发音
こないだ,,前几天,昨日（きのう）,昨天
ごぶさた,御無沙汰,久疏问候,連絡（れんらく）,联系
こぼす,,洒落,溢れる（あふれる）,溢出
こぼれる,掉落,こぼす（こぼす）,洒落
ごみ,塵芥,垃圾,清潔（せいけつ）,清洁
ゴム,,橡胶,プラスチック（plastic）,塑料
ごめん,御免,抱歉,すみません（すみません）,对不起
ごめんください,,打扰了,失礼します（しつれいします）,失礼了
こゆび,小指,小拇指,親指（おやゆび）,大拇指
こらえる,忍耐,忍耐,我慢する（がまんする）,忍耐
ごらく,娯楽,娱乐,仕事（しごと）,工作
ごらん,御覧,看,見る（みる）,看
コレクション,,收藏,展示（てんじ）,展示
ころがす,転がす,滚动,動かす（うごかす）,移动
ころがる,転がる,滚动,落ちる（おちる）,掉落
こん,紺,藏青,白（しろ）,白色
コンクール,,竞赛,試合（しあい）,比赛
コンクリート,,混凝土,鉄筋（てっきん）,钢筋
こんごう,混合,混合,分離（ぶんり）,分离
コンセント,,插座,プラグ（plug）,插头
こんだて,献立,菜单,メニュー（menu）,菜单
こんばんは,,晚上好,おはよう（おはよう）,早上好
サークル,,社团,クラブ（club）,俱乐部
ざいがく,在学,在校,卒業（そつぎょう）,毕业
さいさん,再三,再三,一度（いちど）,一次
さいじつ,祭日,节日,平日（へいじつ）,平日
さいそく,催促,催促,待つ（まつ）,等待
さいてん,採点,评分,評価（ひょうか）,评价
さいなん,災難,灾难,幸運（こううん）,幸运
さいほう,裁縫,缝纫,編み物（あみもの）,编织
ざいもく,材木,木材,金属（きんぞく）,金属
サイレン,,警报,ベル（bell）,铃声
さかさ,逆さ,倒立,逆さま（さかさま）,颠倒
さかさま,逆様,颠倒,通常（つうじょう）,通常
さがす,捜す,寻找,見つける（みつける）,找到
さかのぼる,遡る,追溯,進む（すすむ）,前进
さかば,酒場,酒吧,居酒屋（いざかや）,居酒屋
さきおととい,,前天,昨日（きのう）,昨天
さきほど,先程,刚才,今（いま）,现在
さく,裂く,撕开,破る（やぶる）,打破
さくいん,索引,索引,目次（もくじ）,目录
さくしゃ,作者,作者,読者（どくしゃ）,读者
さくじょ,削除,删除,追加（ついか）,添加
さくせい,作成,制作,作る（つくる）,做
さくせい,作製,制造,設計（せっけい）,设计
さぐる,探る,探查,調べる（しらべる）,调查
ささやく,囁く,耳语,話す（はなす）,说话
ささる,刺さる,刺入,抜ける（ぬける）,拔出
さじ,匙,勺子,フォーク（fork）,叉子
ざしき,座敷,榻榻米房间,洋室（ようしつ）,西式房间
さしつかえ,差し支え,妨碍,支障（ししょう）,障碍
さしひき,差し引き,扣除,合計（ごうけい）,合计
さしみ,刺身,生鱼片,焼き魚（やきざかな）,烤鱼
さす,刺す,刺,抜く（ぬく）,拔
さす,挿す,插入,抜く（ぬく）,拔出
さす,注す,斟,飲む（のむ）,喝
さす,射す,照耀,照る（てる）,照耀
さすが,流石,果然,予想通り（よそうどおり）,意料之中
さつえい,撮影,摄影,録画（ろくが）,录像
ざつおん,雑音,噪音,静寂（せいじゃく）,寂静
さっさと,,赶快,ゆっくり（ゆっくり）,慢慢
さっそく,早速,立刻,後で（あとで）,之后
さび,錆,锈,金属（きんぞく）,金属
さびる,錆びる,生锈,腐る（くさる）,腐烂
ざぶとん,座布団,坐垫,クッション（cushion）,靠垫
さます,冷ます,冷却,温める（あたためる）,加热
さまたげる,妨げる,妨碍,助ける（たすける）,帮助
さめる,冷める,变冷,温かい（あたたかい）,温暖
さようなら,,再见,こんにちは（こんにちは）,你好
さらいげつ,再来月,下下月,来月（らいげつ）,下月
さらいしゅう,再来週,下周,来週（らいしゅう）,下周
さらいねん,再来年,后年,来年（らいねん）,明年
サラリーマン,,上班族,自営業（じえいぎょう）,自营
さわがしい,騒がしい,吵闹,静か（しずか）,安静
さわやか,清爽,清新,爽やか（さわやか）,清爽
さんかく,三角,三角形,四角（しかく）,四角形
さんすう,算数,算术,数学（すうがく）,数学
さんせい,酸性,酸性,アルカリ性（alkalisei）,碱性
さんち,産地,产地,消費地（しょうひち）,消费地
サンプル,,样品,本物（ほんもの）,真品
さんりん,山林,山林,平野（へいや）,平原
しあがる,仕上がる,完成,作る（つくる）,制作
しあさって,,后天,明日（あした）,明天
シーズン,,赛季,オフシーズン（off-season）,淡季
シーツ,,床单,毛布（もうふ）,毛毯
じいん,寺院,寺庙,神社（じんじゃ）,神社
しいんと,シーンと,寂静,賑やか（にぎやか）,热闹
じえい,自衛,自卫,攻撃（こうげき）,攻击
しおからい,塩辛い,咸,甘い（あまい）,甜
しかい,司会,主持,司会者（しかいしゃ）,主持人
しかく,四角,方形,円形（えんけい）,圆形
しかくい,四角い,方形,丸い（まるい）,圆形
じかんわり,時間割,课程表,スケジュール（schedule）,日程
しき,四季,四季,季節（きせつ）,季节
しきち,敷地,场地,土地（とち）,土地
しきゅう,至急,火急,ゆっくり（ゆっくり）,慢慢
しく,敷く,铺设,積む（つむ）,堆积
しげる,茂る,茂盛,枯れる（かれる）,枯萎
じさん,持参,携带,配達（はいたつ）,配送
じしゃく,磁石,磁铁,コンパス（compass）,指南针
ししゃごにゅう,四捨五入,四舍五入,切り捨て（きりすて）,舍去
しじゅう,始終,始终,時々（ときどき）,有时
じしゅう,自習,自习,授業（じゅぎょう）,上课
しずまる,静まる,平静,騒がしい（さわがしい）,吵闹
しせい,姿勢,姿势,態度（たいど）,态度
しぜんかがく,自然科学,自然科学,社会科学（しゃかいかがく）,社会科学
じそく,時速,时速,分速（ぶんそく）,分速
しそん,子孫,子孙,先祖（せんぞ）,祖先
したい,死体,尸体,生体（せいたい）,活体
したがき,下書き,草稿,完成品（かんせいひん）,成品
したまち,下町,下町,山手（やまのて）,山手
じち,自治,自治,統治（とうち）,统治
じっかん,実感,实感,空想（くうそう）,空想
しっけ,湿気,湿气,乾燥（かんそう）,干燥
しっき,湿気,潮气,乾燥（かんそう）,干燥
しつこい,纠缠不休,淡白（たんぱく）,淡泊
じっしゅう,実習,实习,勉強（べんきょう）,学习
じっせき,実績,实绩,計画（けいかく）,计划
しつど,湿度,湿度,乾燥（かんそう）,干燥
しっぴつ,執筆,执笔,読書（どくしょ）,读书
じつぶつ,実物,实物,模型（もけい）,模型
しっぽ,,尾巴,頭（あたま）,头
じつよう,実用,实用,理論（りろん）,理论
じつりょく,実力,实力,仮想（かそう）,虚拟
じつれい,実例,实例,抽象（ちゅうしょう）,抽象
しつれん,失恋,失恋,恋愛（れんあい）,恋爱
してい,指定,指定,自由（じゆう）,自由
してつ,私鉄,私铁,国鉄（こくてつ）,国铁
じどう,児童,儿童,大人（おとな）,大人
しばる,縛る,捆绑,解く（ほどく）,解开
じばん,地盤,地基,上部（じょうぶ）,上部
しびれる,麻痹,感覚（かんかく）,感觉
しへい,紙幣,纸币,硬貨（こうか）,硬币
しぼむ,凋谢,咲く（さく）,开花
しぼる,絞る,拧,押す（おす）,按压
しま,縞,条纹,無地（むじ）,素色
じみ,地味,朴素,派手（はで）,华丽
しみじみ,,深切,表面的（ひょうめんてき）,表面的
しめい,氏名,姓名,通称（つうしょう）,通称
しめきり,締切,截止,開始（かいし）,开始
しめきる,締め切る,截止,開ける（あける）,开启
しめる,湿る,潮湿,乾く（かわく）,干燥
ジャーナリスト,,记者,作家（さっか）,作家
しゃかいかがく,社会科学,社会科学,自然科学（しぜんかがく）,自然科学
しゃがむ,,蹲下,座る（すわる）,坐
じゃぐち,蛇口,水龙头,栓（せん）,栓子
じゃくてん,弱点,弱点,強点（きょうてん）,优点
しゃこ,車庫,车库,駐車場（ちゅうしゃじょう）,停车场
しゃしょう,車掌,列车员,運転士（うんてんし）,司机
しゃせい,写生,写生,写真（しゃしん）,照片
しゃせつ,社説,社论,記事（きじ）,报道
しゃっくり,,打嗝,咳（せき）,咳嗽
シャッター,,百叶窗,カーテン（curtain）,窗帘
しゃぶる,,吸吮,噛む（かむ）,咀嚼
しゃりん,車輪,车轮,タイヤ（tire）,轮胎
しゃれ,洒落,诙谐,冗談（じょうだん）,笑话
じゃんけん,,猜拳,ゲーム（game）,游戏
しゅうかい,集会,集会,分散（ぶんさん）,分散
じゅうきょ,住居,住所,家（いえ）,家
しゅうきん,集金,收款,支払い（しはらい）,支付
しゅうごう,集合,集合,解散（かいさん）,解散
しゅうじ,習字,习字,書道（しょどう）,书法
しゅうぜん,修繕,修缮,破壊（はかい）,破坏
じゅうたい,重体,病危,軽症（けいしょう）,轻症
じゅうたん,絨毯,地毯,床（ゆか）,地板
しゅうてん,終点,终点,起点（きてん）,起点
じゅうてん,重点,重点,軽点（けいてん）,轻点
しゅうにん,就任,就任,辞任（じにん）,辞任
しゅうへん,周辺,周边,中心（ちゅうしん）,中心
じゅうやく,重役,重役,平社員（ひらしゃいん）,普通员工
しゅうりょう,終了,结束,開始（かいし）,开始
じゅうりょう,重量,重量,軽量（けいりょう）,轻量
じゅうりょく,重力,重力,引力（いんりょく）,引力
じゅくご,熟語,熟语,単語（たんご）,单词
しゅくじつ,祝日,节日,平日（へいじつ）,平日
しゅくしょう,縮小,缩小,拡大（かくだい）,扩大
じゅけん,受験,参加考试,合格（ごうかく）,及格
しゅご,主語,主语,述語（じゅつご）,谓语
しゅっきん,出勤,出勤,欠勤（けっきん）,缺勤
じゅつご,述語,谓语,主語（しゅご）,主语
しゅっちょう,出張,出差,帰社（きしゃ）,回公司
じゅみょう,寿命,寿命,永遠（えいえん）,永恒
しゅやく,主役,主角,脇役（わきやく）,配角
じゅわき,受話器,听筒,送話器（そうわき）,话筒
じゅんかん,循環,循环,停止（ていし）,停止
じゅんさ,巡査,巡警,犯罪者（はんざいしゃ）,罪犯
じゅんじゅん,順々,依次,一斉（いっせい）,一齐
じゅんじょ,順序,顺序,乱（らん）,混乱
じゅんじょう,純情,纯情,不純（ふじゅん）,不纯
じゅんすい,純粋,纯粹,混じり（まじり）,混合
しょうか,消化,消化,吸収（きゅうしゅう）,吸收
しょうがくせい,小学生,小学生,中学生（ちゅうがくせい）,中学生
しょうがない,,没办法,仕方ない（しかたない）,没办法
しょうぎ,将棋,将棋,チェス（chess）,国际象棋
じょうき,蒸気,蒸汽,水（みず）,水
じょうぎ,定規,尺子,定規（じょうぎ）,尺子
じょうきゅう,上級,高级,初級（しょきゅう）,初级
しょうぎょう,商業,商业,農業（のうぎょう）,农业
しょうきょくてき,消極的,消极,積極的（せっきょくてき）,积极
しょうきん,賞金,奖金,罰金（ばっきん）,罚款
じょうげ,上下,上下,前後（ぜんご）,前后
しょうじ,障子,纸拉门,カーテン（curtain）,窗帘
しょうしゃ,商社,商社,会社（かいしゃ）,公司
じょうしゃ,乗車,乘车,下車（げしゃ）,下车
じょうじゅん,上旬,上旬,下旬（げじゅん）,下旬
しょうずる,生ずる,产生,消える（きえる）,消失
しょうすう,小数,小数,整数（せいすう）,整数
しょうてん,商店,商店,スーパー（super）,超市
しょうてん,焦点,焦点,中心（ちゅうしん）,中心
しょうどく,消毒,消毒,汚染（おせん）,污染
しょうはい,勝敗,胜负,引き分け（ひきわけ）,平局
じょうはつ,蒸発,蒸发,液化（えきか）,液化
しょうひん,賞品,奖品,商品（しょうひん）,商品
しょうぶ,勝負,胜负,試合（しあい）,比赛
しょうべん,小便,小便,大便（だいべん）,大便
しょうぼうしょ,消防署,消防站,警察署（けいさつしょ）,派出所
しょうみ,正味,净重,総量（そうりょう）,总量
しょうめん,正面,正面,裏面（りめん）,背面
しょうもう,消耗,消耗,充電（じゅうでん）,充电
しょうゆ,醤油,酱油,塩（しお）,盐
しょうりゃく,省略,省略,詳細（しょうさい）,详细
しょきゅう,初級,初级,中級（ちゅうきゅう）,中级
じょきょうじゅ,助教授,副教授,教授（きょうじゅ）,教授
しょくえん,食塩,食盐,砂糖（さとう）,糖
しょくにん,職人,工匠,素人（しろうと）,外行
しょじゅん,初旬,初旬,下旬（げじゅん）,下旬
しょせき,書籍,书籍,雑誌（ざっし）,杂志
しょっき,食器,餐具,調理器具（ちょうりきぐ）,厨具
ショップ,,商店,デパート（department store）,百货商店
しょてん,書店,书店,図書館（としょかん）,图书馆
しょどう,書道,书法,絵画（かいが）,绘画
しらが,白髪,白发,黒髪（くろかみ）,黑发
しりあい,知合い,熟人,他人（たにん）,陌生人
シリーズ,,系列,単発（たんぱつ）,单发
しりつ,私立,私立,公立（こうりつ）,公立
しりょう,資料,资料,証拠（しょうこ）,证据
しる,汁,汤汁,水（みず）,水
しろうと,素人,外行,専門家（せんもんか）,专家
しん,芯,芯,表面（ひょうめん）,表面
しんかんせん,新幹線,新干线,普通列車（ふつうれっしゃ）,普通列车
しんくう,真空,真空,満たす（みたす）,充满
しんずる,信ずる,相信,疑う（うたがう）,怀疑
しんしん,心身,身心,精神（せいしん）,精神
しんせい,申請,申请,許可（きょか）,许可
じんぞう,人造,人造,天然（てんねん）,天然
しんだい,寝台,卧铺,ベッド（bed）,床
しんだん,診断,诊断,治療（ちりょう）,治疗
しんにゅう,侵入,入侵,退出（たいしゅつ）,退出
じんぶんかがく,人文科学,人文科学,自然科学（しぜんかがく）,自然科学
じんめい,人命,人命,物命（ぶつめい）,物命
しんや,深夜,深夜,朝（あさ）,早晨
しんりん,森林,森林,荒野（こうや）,荒野
しんるい,親類,亲戚,他人（たにん）,他人
しんろ,針路,航向,方角（ほうがく）,方向
しんわ,神話,神话,伝説（でんせつ）,传说
す,酢,醋,醤油（しょうゆ）,酱油
すいさん,水産,水产,農産（のうさん）,农产
すいじ,炊事,做饭,掃除（そうじ）,打扫
すいじょうき,水蒸気,水蒸气,霧（きり）,雾
すいそ,水素,氢,酸素（さんそ）,氧
すいちょく,垂直,垂直,水平（すいへい）,水平
すいてい,推定,推测,確定（かくてい）,确定
すいてき,水滴,水滴,雨（あめ）,雨
すいとう,水筒,水壶,コップ（cup）,杯子
ずいひつ,随筆,随笔,小説（しょうせつ）,小说
すいぶん,水分,水分,乾燥（かんそう）,干燥
すいへい,水平,水平,垂直（すいちょく）,垂直
すいへいせん,水平線,水平线,地平線（ちへいせん）,地平线
すいよう,水曜,星期三,火曜（かよう）,星期二
ずうずうしい,厚脸皮,遠慮がない（えんりょがない）,不客气
すえっこ,末っ子,最小的孩子,長男（ちょうなん）,长子
スカーフ,,围巾,マフラー（muffler）,围巾
ずかん,図鑑,图鉴,本（ほん）,书
すぎ,杉,杉木,松（まつ）,松树
すききらい,好き嫌い,挑食,好き嫌い（すききらい）,挑食
すきずき,好き好き,各有所好,共通（きょうつう）,共同
すきとおる,透き通る,透明,濁る（にごる）,浑浊
すきま,隙間,缝隙,隙間（すきま）,缝隙
スクール,,学校,大学（だいがく）,大学
すくなくとも,,至少,最大（さいだい）,最大
ずけい,図形,图形,数値（すうち）,数值
スケジュール,,日程,予定（よてい）,预定
すず,鈴,铃铛,ベル（bell）,铃声
すずむ,涼む,纳凉,暑い（あつい）,炎热
スタート,,开始,ゴール（goal）,终点
スチュワーデス,,空姐,パイロット（pilot）,飞行员
すっきり,,清爽,ぼやぼや（ぼやぼや）,模糊
すっぱい,酸,甘い（あまい）,甜
ステージ,,舞台,舞台（ぶたい）,舞台
すてる,棄てる,扔掉,拾う（ひろう）,捡起
ストッキング,,丝袜,靴下（くつした）,袜子
ストップ,,停止,スタート（start）,开始
すなお,素直,老实,わがまま（わがまま）,任性
ずのう,頭脳,头脑,身体（しんたい）,身体
スピーカー,,扬声器,マイク（microphone）,麦克风
ずひょう,図表,图表,文字（もじ）,文字
スマート,,时尚,ダサい（ださい）,土气
すまい,住まい,住所,家（いえ）,家
すまない,,抱歉,申し訳ない（もうしわけない）,对不起
すみ,墨,墨水,筆（ふで）,笔
すむ,澄む/清む,清澈,濁る（にごる）,浑浊
すもう,相撲,相扑,レスリング（wrestling）,摔跤
スライド,,幻灯片,映画（えいが）,电影
ずらす,推迟,急ぐ（いそぐ）,着急
ずらり,,成排,バラバラ（ばらばら）,分散
すり,掏摸,扒手,泥棒（どろぼう）,小偷
する,刷る,印刷,書く（かく）,写
ずるい,狡い,狡猾,正直（しょうじき）,诚实
すれちがう,交错,ぶつかる（ぶつかる）,碰撞
すんぽう,寸法,尺寸,大きさ（おおきさ）,大小
せい,姓,姓氏,名前（なまえ）,名字
ぜいかん,税関,海关,空港（くうこう）,机场
せいさく,製作,制作,企画（きかく）,策划
せいさく,制作,制作,完成（かんせい）,完成
せいしつ,性質,性质,性格（せいかく）,性格
せいしょ,清書,誊写,原稿（げんこう）,原稿
せいしょうねん,青少年,青少年,老人（ろうじん）,老人
せいすう,整数,整数,分数（ぶんすう）,分数
せいそう,清掃,清扫,汚れる（よごれる）,弄脏
せいぞん,生存,生存,死亡（しぼう）,死亡
せいちょう,生長,生长,減少（げんしょう）,减少
せいとう,政党,政党,在野党（ざやとう）,在野党
せいねんがっぴ,生年月日,出生日期,年齢（ねんれい）,年龄
せいのう,性能,性能,機能（きのう）,功能
せいび,整備,整备,設置（せっち）,设置
せいぶん,成分,成分,全体（ぜんたい）,整体
せいべつ,性別,性别,共通（きょうつう）,共同
せいほうけい,正方形,正方形,長方形（ちょうほうけい）,长方形
せいもん,正門,正门,裏門（うらもん）,后门
せいりつ,成立,成立,不成立（ふせいりつ）,不成立
せいれき,西暦,西历,和暦（われき）,和历
せおう,背負う,背负,持つ（もつ）,拿
せきどう,赤道,赤道,北極（ほっきょく）,北极
せっかく,折角,好不容易,簡単（かんたん）,简单
せっきん,接近,接近,遠ざかる（とおざかる）,远离
せっけん,石鹸,肥皂,シャンプー（shampoo）,洗发水
せっする,接する,接触,離れる（はなれる）,离开
せっせと,,勤奋,怠ける（なまける）,懒惰
せつぞく,接続,连接,断絶（だんぜつ）,断绝
せともの,瀬戸物,陶瓷,ガラス（glass）,玻璃
ぜひとも,,务必,遠慮なく（えんりょなく）,请随意
せまる,迫る,逼近,遠ざかる（とおざかる）,远离
ゼミ,,研讨会,講義（こうぎ）,讲课
せめて,,至少,完全に（かんぜんに）,完全
せめる,攻める,攻击,守る（まもる）,防守
セメント,,水泥,コンクリート（concrete）,混凝土
せん,栓,栓子,キャップ（cap）,盖子
ぜんご,前後,前后,左右（さゆう）,左右
せんざい,洗剤,洗涤剂,石鹸（せっけん）,肥皂
ぜんしゅう,全集,全集,選集（せんしゅう）,选集
ぜんしん,全身,全身,一部（いちぶ）,一部分
せんす,扇子,扇子,うちわ（うちわ）,团扇
せんせい,専制,专制,民主（みんしゅ）,民主
せんせんげつ,先々月,上上个月,今月（こんげつ）,本月
せんせんしゅう,先々週,上上周,今週（こんしゅう）,本周
せんぞ,先祖,祖先,子孫（しそん）,子孙
せんたん,先端,尖端,末端（まったん）,末端
センチ,,厘米,ミリ（milli）,毫米
せんでん,宣伝,宣传,広告（こうこく）,广告
せんとう,先頭,前面,後ろ（うしろ）,后面
ぜんぱん,全般,全部,一部（いちぶ）,一部分
せんぷうき,扇風機,电风扇,エアコン（air conditioner）,空调
せんろ,線路,线路,駅（えき）,车站
そうい,相違,差异,一致（いっち）,一致
そういえば,,说起来,それにしても（それにしても）,话虽如此
ぞうきん,雑巾,抹布,タオル（towel）,毛巾
ぞうげん,増减,增减,一定（いってい）,一定
そうこ,倉庫,仓库,店（みせ）,商店
そうご,相互,相互,片方（かたほう）,一方
そうさく,創作,创作,模倣（もほう）,模仿
そうしき,葬式,葬礼,結婚式（けっこんしき）,婚礼
そうして,,然后,そして（そして）,然后
ぞうせん,造船,造船,造機（ぞうき）,造机
そうぞうしい,騒々しい,嘈杂,静か（しずか）,安静
ぞうだい,増大,增大,縮小（しゅくしょう）,缩小
そっと,,悄悄,大声（おおごえ）,大声
そうべつ,送別,送别,迎え（むかえ）,迎接
ぞうり,草履,草鞋,靴（くつ）,鞋子
そうりだいじん,総理大臣,总理大臣,大統領（だいとうりょう）,总统
そうりょう,送料,运费,手数料（てすうりょう）,手续费
ぞくする,属する,属于,独立（どくりつ）,独立
ぞくぞく,続々,陆续,一斉（いっせい）,一齐
そくたつ,速達,快递,普通郵便（ふつうゆうびん）,普通邮件
そくてい,測定,测量,推測（すいそく）,推测
そくりょう,測量,测量,計算（けいさん）,计算
そくりょく,速力,速度,緩慢（かんまん）,缓慢
そしつ,素質,素质,能力（のうりょく）,能力
そせん,祖先,祖先,子孫（しそん）,子孙
そそっかしい,粗心,慎重（しんちょう）,慎重
そっちょく,卒直,直率,遠回し（とおまわし）,委婉
そなえる,具える,具备,欠ける（かける）,缺乏
そのうえ,,而且,それに（それに）,而且
そのころ,その頃,那时,今（いま）,现在
そのため,,因此,だから（だから）,所以
そのほか,,其他,その他（そのほか）,其他
そば,蕎麦,荞麦面,うどん（udon）,乌冬面
そる,剃る,剃,抜く（ぬく）,拔
それなのに,,然而,だから（だから）,所以
それる,逸れる,跑题,戻る（もどる）,回去
そろう,揃う,齐全,不揃い（ふぞろい）,不齐
そろえる,揃える,准备,散らかす（ちらかす）,散乱
そろばん,算盤,算盘,電卓（でんたく）,电子计算器
ぞんじる,存じる/存ずる,知道,思う（おもう）,想
そんとく,損得,得失,道徳（どうとく）,道德
たんぼ,田ぼ,稻田,畑（はたけ）,旱田
たいいん,退院,出院,入院（にゅういん）,住院
だいがくいん,大学院,研究生院,大学（だいがく）,大学
だいく,大工,木匠,職人（しょくにん）,工匠
たいけい,体系,体系,構造（こうぞう）,构造
たいこ,太鼓,太鼓,ドラム（drum）,鼓
たいさく,対策,对策,問題（もんだい）,问题
たいして,大して,不怎么,非常に（ひじょうに）,非常
たいしょう,対照,对比,一致（いっち）,一致
だいしょう,大小,大小,同等（どうとう）,同等
たいせい,体制,体制,改革（かいかく）,改革
たいせき,体積,体积,面積（めんせき）,面积
たいそう,大層,非常,普通（ふつう）,普通
たいそう,体操,体操,運動（うんどう）,运动
だいぶん,大分,相当,少し（すこし）,稍微
たいぼく,大木,大树,苗木（なえぎ）,苗木
だいめい,題名,标题,目次（もくじ）,目录
だいめいし,代名詞,代词,名詞（めいし）,名词
タイア,,轮胎,ホイール（wheel）,轮毂
ダイヤグラム,,图表,図面（ずめん）,图纸
ダイヤモンド,,钻石,宝石（ほうせき）,宝石
ダイヤル,,拨号,ボタン（button）,按钮
たいりつ,対立,对立,協力（きょうりょく）,协力
たうえ,田植え,插秧,収穫（しゅうかく）,收获
たえず,絶えず,不断地,時々（ときどき）,有时
だえん,楕円,椭圆,円形（えんけい）,圆形
たかめる,高める,提高,下げる（さげる）,降低
たがやす,耕す,耕作,栽培（さいばい）,栽培
たき,滝,瀑布,川（かわ）,河流
たく,炊く,煮,焼く（やく）,烤
たく,焚く,烧,消す（けす）,熄灭
たくわえる,蓄える,储存,使う（つかう）,使用
たけ,竹,竹子,木（き）,树木
たすかる,助かる,得救,死ぬ（しぬ）,死亡
ただ,只,只是,有料（ゆうりょう）,收费
ただし,但し,但是,従って（したがって）,因此
たたむ,畳む,折叠,広げる（ひろげる）,展开
たちどまる,立ち止まる,停下,進む（すすむ）,前进
たちまち,,突然,ゆっくり（ゆっくり）,慢慢
たつ,建つ,建成,壊れる（こわれる）,倒塌
たつ,発つ,出发,着く（つく）,到达
だっせん,脱線,脱轨,復帰（ふっき）,恢复
だとう,妥当,妥当,不当（ふとう）,不当
たとえる,例える,比如,実例（じつれい）,实例
たのもしい,頼もしい,可靠,頼りない（たよりない）,不可靠
たび,足袋,日式袜子,靴下（くつした）,袜子
ダブル,,双,シングル（single）,单
だます,,欺骗,騙す（だます）,欺骗
たまる,溜まる,积攒,使う（つかう）,使用
ダム,,水坝,川（かわ）,河流
ためいき,溜息,叹气,笑う（わらう）,笑
ためらう,,犹豫,決める（きめる）,决定
ためる,溜める,积蓄,使う（つかう）,使用
だらしない,,邋遢,きちんとしている（きちんとしている）,整洁
たる,足る,足,足りない（たりない）,不足
だんかい,段階,阶段,階段（かいだん）,阶段
たんき,短期,短期,長期（ちょうき）,长期
たんこう,炭鉱,煤矿,油田（ゆだん）,油田
たんしょ,短所,短处,長所（ちょうしょ）,长处
たんす,,衣柜,クローゼット（closet）,衣柜
たんすい,淡水,淡水,海水（かいすい）,海水
だんすい,断水,断水,通水（つうすい）,通水
たんすう,単数,单数,複数（ふくすう）,复数
だんち,団地,团地,戸建住宅（こだてじゅうたく）,独栋住宅
だんてい,断定,断定,推測（すいそく）,推测
たんぺん,短編,短篇,長編（ちょうへん）,长篇
ちかう,誓う,发誓,約束（やくそく）,约定
ちかすい,地下水,地下水,地表水（ちょうひすい）,地表水
ちかぢか,近々,不久,遠い（とおい）,远
ちかづける,近付ける,靠近,離す（はなす）,远离
ちかよる,靠近,遠ざかる（とおざかる）,远离
ちからづよい,力强い,可靠,弱い（よわい）,弱
ちぎる,,切碎,切る（きる）,切
